Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;20-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;167;;;;1;7,5;  HA  ;25.000;187.500;;187.500; Valcam ;;;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;20-09-16;Brice_o;Rotovator;Rotovator sin melga;; Llay llay ; Apio 17 ;2;167;;;;1;7,5;  HA  ;60.000;450.000;;450.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;20-09-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;2;167;;;  Goal/herbadox  ;1;7,5;  HA  ;20.000;150.000;;150.000; Valcam ;;;
 ValcamLlay llayApio 17Acequiar ; Brice_oLlay llayApio 17Acequiar ;20-09-16;Brice_o;Acequiar;Acequiar;; Llay llay ; Apio 17 ;2;167;;;;1;7,5;  HA  ;8.000;60.000;;60.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;166;;;;2;8;  HA  ;25.000;400.000;;400.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;09-09-16;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;2;166;;;;1;8;  HA  ;30.000;240.000;;240.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;166;;;;1;8;  HA  ;25.000;200.000;;200.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;09-09-16;Brice_o;  Arado  ;Aradura;; Llay llay ; Apio 17 ;2;166;;;;1;8;  HA  ;50.000;400.000;;400.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;09-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;166;;;;2;8;  HA  ;25.000;400.000;;400.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Guano ; Brice_oLlay llayApio 17Aplic. Guano ;09-09-16;Brice_o;Aplic. Guano;Aplic. Guano;; Llay llay ; Apio 17 ;2;166;;;;1;8;  HA  ;80.000;640.000;;640.000; Valcam ;;;
