Fecha ;Nç;T.DOC.;Proveedor;Item;ClasificaciÜn Gastos;Lugar;Cultivo/Unidad;ClasificaciÜn Cultivo; Nç ; Cantidad ; Unit. ; Neto ; IVA ; IEF ; IEV/FEP ; Total ; Empresa ; REAL ; Estado 1 ; Comp /cheque ;Fecha ;Monto
02-02-17;1987869;Guia ;Copeval;mz MAIZ;Bodega;San Jorge;Bodega;Bodega;;0,6;269.000;161.400;30.666;;;192.066;Gonzalez ;Valcam;;;;
02-02-17;73815;boleta;Comit_ de Agua Potable;Agua;Agua;San Jorge;AdministraciÜn;AdministraciÜn;;1;83.610;83.610;;;;83.610;Sucesion;Massai;;;;
02-02-17;6334;Fact;Agrodistribuidores Ltda ;Trainer 20 lts;Bodega;San Jorge;Bodega;Bodega;;2;130.000;260.000;49.400;;;309.400;brice_o;Valcam;pagada ;;;
03-02-17;398566;Guia ;tattersall;Clorotalonil/retenol;Bodega;San Jorge;Bodega;Bodega;;6;211.302;1.267.812;240.884;;;1.508.696;INVERTEC;Valcam;;;;
03-02-17;2779751;Fact;Copeval;Centurion;Bodega;San Jorge;Bodega;Bodega;;5;34.570;172.850;32.842;;;205.692;Gonzalez ;Valcam;pagada ;17-08-17;;
04-02-17;7812;Guêa ;Europlant;Plantulas;Semillas, plantas;Juan Gonzalez;Apio 17;Apio 17;;180.000;10;1.800.000;342.000;;;2.142.000;INVERTEC;Valcam;;;;
04-02-17;41951;Guêa ;Europlant;Plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;200.000; -   ; -   ; -   ;;; -   ;Diana;Valcam;ventura;;;
04-02-17;41951;Guêa ;Europlant;plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;200.000;;;;;;;Diana;Valcam;ventura;;;
06-02-17;133701;Guia ;massai;Desecho semilla brocoli y Coliflor;Varios;La cruz;Brocoli;BrÜcoli 17;;;; -   ; -   ;;; -   ;massai;massai;;;;
06-02-17;6353;Fact;Agrodistribuidores Ltda ;Plantulas;Semillas, plantas;San Jorge;Lechuga ;Lechuga 17; Victoriosa ;6.000;12;69.600;13.224;;;82.824;brice_o;;Pagada;;;
07-02-17;;comp;Maderas Orellana;Devolucion 90 polines;Varios;Quillota;Salvia;Flores 17;;;; -   ; -   ;;; -   ;;;;;;
07-02-17;41964;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;140.000;; -   ; -   ;;; -   ;Diana;massai;;;;
07-02-17;41963;Guêa ;Europlant;Plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;180.000; -   ; -   ; -   ;; -   ; -   ;Diana;Valcam;ventura;;;
07-02-17;3;Fact;David villarroel Arancibia;Flete;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;70.000;70.000;13.300;;;83.300;Valcam;Valcam;Pagado;3008;06-03-17;
07-02-17;17128;Fact;Com. Rosati;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;7.168;7.168;1.362;;1.474;10.004;brice_o;Brice_o;Pagada;;;
07-02-17;7388;Fact;Agroalmar;Motobomba/flexible/abrazaderas;Bodega;ALLENDE;Bodega;Bodega;;1;109.838;109.838;20.869;;;130.707;Valcam;Valcam;Pagada por Nelson zamora;;;
08-02-17;12090;Fact;Pucalan;Guano Estabilizado;Guano;Allende;Apio 17;Apio 17;;74;10.400;742.080;140.995;;;883.075;ZAMORA;Valcam;PARCIAL;CUEQUE;27-04-17;151848
08-02-17;41977;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;130.015; -   ; -   ; -   ;; -   ; -   ;Diana;Valcam;ventura;;;
08-02-17;8143;Fact;Buchard;Ferrula/Ensamble/Mang.;Repuestos;La Calera;Maquinaria;Maquinaria;;1;14.643;14.643;2.782;;;17.425;Valcam;Valcam;;;;
09-02-17;2076;Guia ;protein corp;protectox ;Bodega;San Jorge;Bodega;Bodega;;100;6.800;680.000;129.200;; -   ;809.200;Valcam;Valcam;;;;
09-02-17;41978;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;180.196; -   ; -   ; -   ;; -   ; -   ;Diana;Valcam;;;;
09-02-17;2779825;Fact;Copeval;Dual Gold;Bodega;Quillota;Bodega;Bodega;;7;40.073;280.513;53.297;;;333.810;Gonzalez ;Valcam;pagada;08-07-17;;
09-02-17;57857;Fact;Copeval;Gtos Notario Cobranza;Gastos Legales;San Jorge;AdministraciÜn;AdministraciÜn;;1;6.723;6.723;1.277;;;8.000;Gonzalez ;Valcam;pagada;;;
09-02-17;787;Guia ;Certa Chile S.A;Trasplantadora de Hortalizas;InversiÜn;San Jorge;Maquinaria;Maquinaria;;1;15.000.000;15.000.000;2.850.000;;;17.850.000;INVERTEC;Valcam;;;;
10-02-17;928;Fact;protein corp;protectox ;Bodega;San Jorge;Bodega;Bodega;;100;6.800;680.000;129.200;;;809.200;Valcam;Valcam;pagada;;;
10-02-17;8166;Fact;Buchard;phex/gol prec/;Repuestos;LLay llay;Maquinaria;Maquinaria;;1;8.294;8.294;1.576;;;9.870;Valcam;Brice_o;Pagada;;;
11-02-17;10;Fact;Juan Gonzalez;Apio;Comercializadora;San Pedro;Apio 17;Apio 17;;60;75.467;4.528.020;860.324;;;5.388.344;Valcam;Valcam;;;;
11-02-17;41990;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;100.362;;; -   ;;; -   ;Diana;Valcam;;;;
11-02-17;41989;Guêa ;Europlant;plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;150.163;;; -   ;;; -   ;Diana;Valcam;;;;
